0,1
1,1
2,1
3,1
4,0
5,5
6,7
7,9
8,5
9,5
10,5
11,10
12,2
13,10
14,9
15,7
16,10
17,9
18,11
19,3
20,1
21,0
22,3
23,3
24,3
25,3
26,3
27,0
28,2
29,11
30,3
31,10
32,2
33,10
34,0
35,10
36,10
37,10
38,9
39,8
40,9
41,5
42,11
43,0
44,10
45,10
46,8
47,5
48,5
49,5
50,0
51,11
52,11
53,2
54,0
55,3
56,1
57,2
58,2
59,2
60,2
61,2
62,11
63,7
64,5
65,7
66,0
67,7
68,7
69,7
70,5
71,8
72,1
73,1
74,1
75,0
76,4
77,0
78,3
79,0
80,5
81,6
82,0
83,6
84,6
85,6
86,6
87,9
88,7
89,7
90,7
91,11
92,11
93,0
94,0
95,4
96,6
97,8
98,7
99,8
100,8
101,8
102,8
103,10
104,10
105,0
106,4
107,0
108,7
109,8
110,0
111,8
112,0
113,6
114,0
115,4
116,8
117,0
118,8
119,0
120,4
121,4
122,4
123,0
124,5
125,11
126,0
127,11
128,0
129,0
130,9
131,0
132,0
133,0
134,6
135,9
136,0
137,0
138,0
139,0
140,4
141,0
142,4
143,4
144,4
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,11
153,11
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,3
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
